WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-59.4349548 13.1237375,-59.434562 13.1232279,-59.4341438 13.1226757,-59.4335554 13.121932,-59.4333124 13.1216298)",residential,,Bayshore Drive,,,,,,,,,
"LINESTRING (-59.4341438 13.1226757,-59.4328378 13.1239168,-59.4328204 13.1239285)",residential,,Sunrise Crescent,,,,,,,,,
"LINESTRING (-59.4349822 13.1237107,-59.4354473 13.1242264)",service,,,,,,driveway,,,,,
"LINESTRING (-59.4345984 13.1240539,-59.4349548 13.1237375,-59.4349822 13.1237107,-59.4357599 13.1229512,-59.4362056 13.1225731,-59.4365123 13.1223129,-59.4368892 13.121969)",secondary,,Belair Main Road,asphalt,60,HN,,,,,,
"LINESTRING (-59.4328864 13.1252497,-59.4328304 13.1251301,-59.4327362 13.1250127,-59.4321076 13.1244796,-59.4316058 13.1240167,-59.4315577 13.1239599,-59.4315336 13.1238906,-59.4315282 13.1238292,-59.4315454 13.12377,-59.4321589 13.123281)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4352195 13.1247725,-59.4350636 13.1245921,-59.4345984 13.1240539)",secondary,,Long Bay Road,asphalt,60,HN,,,,,,
"LINESTRING (-59.4345984 13.1240539,-59.4337485 13.1248916,-59.4334042 13.1252309)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4325532 13.1261559,-59.4321607 13.1258821,-59.4320754 13.1258066,-59.4319718 13.1256648,-59.4319359 13.1256029,-59.4319051 13.1255311,-59.431893 13.1254827,-59.4319102 13.1254201,-59.4319574 13.12539,-59.4320845 13.1253597,-59.4328864 13.1252497,-59.4334042 13.1252309)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4334042 13.1252309,-59.4325532 13.1261559)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4409142 13.1381035,-59.4396736 13.1363786,-59.4396544 13.1363293)",residential,yes,,,,,,,,,,
