WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.2064241 52.9193128,-1.2064439 52.9193003)",service,,asphalt,,,,,,yes,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2069323 52.9184168,-1.204828 52.9194897)",residential,Trafalgar Road,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2072417 52.9189354,-1.2071543 52.918875)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.203639 52.9184397,-1.2057697 52.9173268)",living_street,Birch Avenue,,20 mph,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2058148 52.9173624,-1.2058863 52.9173373,-1.2059721 52.9173064,-1.2059795 52.9172903,-1.2061312 52.9172338)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2060517 52.9175519,-1.2061653 52.9174958,-1.2062769 52.917444,-1.2063627 52.9173923,-1.2064828 52.9173871,-1.206706 52.9172681,-1.2067661 52.9171749,-1.2067847 52.9170292)",service,,,,,,,private,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2063919 52.9178676,-1.207188 52.9174498)",residential,Victory Road,,,,,yes,,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2006814 52.9325129,-1.2006056 52.9324555,-1.2005304 52.9323629)",service,,,,,,,,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2008801 52.9324908,-1.2006909 52.9324172,-1.2006345 52.9323929,-1.2005943 52.9323719,-1.2005304 52.9323629)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2016692 52.9323325,-1.2014205 52.9323661,-1.2012538 52.9323952,-1.2010797 52.9324343)",cycleway,,asphalt,,,yes,,,yes,,,yes,1.75,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,yes,,Nottingham,,,,,,,,,
"LINESTRING (-1.2024777 52.9321626,-1.2024751 52.9321822,-1.2024734 52.9322032,-1.2024692 52.9322258,-1.2024693 52.9322476,-1.2024641 52.9322862,-1.2024526 52.9322943,-1.2020128 52.9323024,-1.2018861 52.9323108,-1.2016692 52.9323325)",cycleway,,asphalt,,,,,,yes,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2025331 52.9324281,-1.2026237 52.932465,-1.2027052 52.9324951)",primary,University Boulevard,asphalt,40 mph,,yes,yes,,,,A6005,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2027052 52.9324951,-1.2028011 52.9325323)",primary,University Boulevard,asphalt,40 mph,,,yes,,,,A6464,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2025331 52.9324281,-1.202602 52.9324053,-1.2026674 52.932379,-1.2027286 52.9323493,-1.202834 52.932283,-1.2029191 52.9322068,-1.2029815 52.932123,-1.2030194 52.932034)",primary_link,Queens Road East,asphalt,,,yes,yes,,,,A6005,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2027052 52.9324951,-1.2027845 52.9324277,-1.2028568 52.9323801,-1.2029538 52.9322867,-1.2029978 52.9322226,-1.2030404 52.9321028)",primary,Queens Road East,asphalt,40 mph,,yes,yes,yes,,,A6005,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2030404 52.9321028,-1.2030505 52.9321543,-1.2030509 52.9322062,-1.2030416 52.9322578,-1.2030227 52.9323085,-1.2029944 52.9323575,-1.202957 52.9324042,-1.2028828 52.9324707,-1.2028011 52.9325323)",primary,Queens Road East,asphalt,40 mph,,yes,yes,yes,,,A6005,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2024641 52.9322862,-1.2027286 52.9323493,-1.2028568 52.9323801,-1.202957 52.9324042,-1.2030717 52.9324118,-1.2031697 52.9324205)",cycleway,,paved,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2045032 52.9324109,-1.2049908 52.9321021)",service,,asphalt,,driveway,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2063005 52.9324808,-1.2060888 52.9323824,-1.2059923 52.9323953,-1.2057643 52.9322822)",service,Clemency Mews,asphalt,,driveway,,,,,,,,,,,,,,,,,,,,,,,
