WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.5734622 13.2488934,-59.5735395 13.248718,-59.5734966 13.2483253,-59.573385 13.2480663,-59.573282 13.2475734,-59.5731618 13.2471557,-59.5730331 13.2465792)",unclassified,,Walkers Road,,60,,,,,,
"LINESTRING (-59.570213 13.2481812,-59.5700413 13.2482062,-59.5698525 13.2481728,-59.5693252 13.2479753,-59.5687244 13.2479336,-59.5682295 13.2479053,-59.5678317 13.2479556)",residential,,Babylon Road,,,,,,,,
"LINESTRING (-59.570213 13.2481812,-59.5702341 13.2482589,-59.570104 13.2491292,-59.5701215 13.2491775,-59.5701657 13.2491906,-59.5704057 13.2491696)",residential,yes,,,,,,,,,
"LINESTRING (-59.5685264 13.2491225,-59.5690891 13.249193,-59.5691642 13.2491643,-59.5692581 13.2484463)",residential,,Redmans Road,,40,,,,,,
"LINESTRING (-59.5661445 13.2473946,-59.566286 13.2469571,-59.5663718 13.2468401,-59.5665778 13.246673,-59.5667065 13.2464892,-59.5668267 13.2462052,-59.5668696 13.245871,-59.5669211 13.2454616,-59.5669125 13.244952,-59.5669898 13.244576,-59.5671099 13.2442084,-59.5673503 13.2438993,-59.5685347 13.2431306)",residential,,Franklin Douglin Road,,,,,,,,
"LINESTRING (-59.5653739 13.2471565,-59.565443 13.246907,-59.5655289 13.2466396,-59.5654173 13.246389,-59.5652971 13.2460882,-59.5652628 13.2458376,-59.5652587 13.2455638)",residential,,Belmont Road,,,,,,,,
"LINESTRING (-59.5646118 13.2468959,-59.5645892 13.2465997,-59.5646837 13.2462321,-59.5648296 13.2459063,-59.5649841 13.2457058,-59.5651986 13.2455638,-59.5652587 13.2455638)",residential,,Jordan Road,,,,,,,,
"LINESTRING (-59.5671066 13.2476411,-59.5670584 13.2490374,-59.567065 13.2493278,-59.5670286 13.2494784)",residential,,Boys School Road,,40,,,,,,
"LINESTRING (-59.5670286 13.2494784,-59.5659684 13.2492797)",residential,yes,,,,,,,,,
"LINESTRING (-59.5636489 13.2463022,-59.5638651 13.2464615,-59.5640929 13.2466424,-59.5643125 13.2467732,-59.5646118 13.2468959,-59.5647921 13.2469526,-59.5649845 13.2470189,-59.5652288 13.2470999,-59.5653739 13.2471565,-59.5658049 13.2472886,-59.5661445 13.2473946,-59.5662786 13.247428,-59.5667391 13.2475473,-59.5671066 13.2476411,-59.5673928 13.2477197,-59.5676379 13.247808,-59.5677364 13.2478748,-59.5678317 13.2479556,-59.5679508 13.2481143,-59.5680928 13.2482918,-59.5683159 13.2486009,-59.5684876 13.2488515,-59.5685357 13.2489922,-59.5685264 13.2491225,-59.5684669 13.2494929,-59.5683433 13.2501548,-59.5683016 13.2504284)",primary,,Ermie Bourne Highway,,60,H2,,,,,
"LINESTRING (-59.5652288 13.2470999,-59.5651775 13.2486948,-59.5650929 13.2497893)",residential,,Worrals Road,,40,,,,,,
"LINESTRING (-59.5651775 13.2486948,-59.5644406 13.2485278)",residential,yes,,,,,,,,,
"LINESTRING (-59.5613668 13.2463107,-59.5614966 13.2468736,-59.5614365 13.2470072,-59.5608786 13.2470741)",residential,yes,,,,,,,,,
"LINESTRING (-59.5682913 13.2521842,-59.5688003 13.2520728,-59.5692823 13.2519094,-59.5697715 13.2518092,-59.5703208 13.2517423,-59.5706899 13.2516839,-59.5711705 13.2516087,-59.5715053 13.2514416,-59.5717971 13.2511158,-59.5720889 13.250815,-59.5723979 13.2505978,-59.5728614 13.2504725,-59.5732391 13.2503722,-59.573282 13.2496788,-59.5733077 13.2494198)",unclassified,,Walkers Road,,60,,,,,,
"LINESTRING (-59.5683016 13.2504284,-59.5682596 13.2506961)",primary,,Ermie Bourne Highway,,,H2,,,,yes,1
