WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (455349.453848092 341046.872511615,455326.479387174 341051.026187748)",primary,Alfreton Road,,30 mph,yes,,yes,,,both,A610,,6,,,,,,,,,,
"LINESTRING (455349.453848092 341046.872511615,455356.499359574 341033.491285807,455357.780235996 341023.715450049,455356.214616009 341016.132112523,455354.729483886 341012.07650786)",primary,Radford Boulevard,asphalt,30 mph,yes,,yes,,,both,A6130,,2,,,,,,,,,,
"LINESTRING (455354.729483886 341012.07650786,455347.527017642 341022.151639797,455346.311837068 341031.472081652,455349.453848092 341046.872511615)",primary,Radford Boulevard,asphalt,30 mph,yes,,yes,,,both,A6130,,2,,,,,,,,,,
"LINESTRING (455321.101324662 341064.871574327,455331.528309008 341060.640891429,455349.453848092 341046.872511615)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (455330.792964692 340788.767776824,455328.518486531 340804.94057026,455326.441941013 340819.6693064)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (455330.792964692 340788.767776824,455332.569419437 340776.193967961)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455332.569419437 340776.193967961,455335.014670928 340761.536211278,455337.249740663 340745.874746449,455339.5138579 340730.02448068)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (454898.478687723 341200.721930774,454908.387646042 341244.958558767)",residential,Thatcham Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454916.195426058 341242.977959979,454908.387646042 341244.958558767,454873.550205106 341253.997170002)",residential,Thatcham Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454867.471400474 341230.909321363,454865.336461985 341204.194837718)",pedestrian,Ascot Road,ground,,,,,,yes,,282,,,yes,,,,,,,,,
"LINESTRING (454782.217527834 341220.128978577,454859.596161238 341202.750073249,454865.336461985 341204.194837718)",track,North Avenue,,,,,,private,yes,,,,,,,,,,,,,,
"LINESTRING (455296.896149479 341069.745584076,455304.088675019 341071.085112388,455311.166106155 341068.395872819,455321.101324662 341064.871574327)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,both,A610,,6,,,,,,,,,,
"LINESTRING (455326.479387174 341051.026187748,455309.100639186 341058.114437076,455299.33078467 341061.863164969,455296.896149479 341069.745584076)",primary,Alfreton Road,,30 mph,yes,,yes,,,both,A610,,6,,,,,,,,,,
"LINESTRING (455262.062270867 341112.936995584,455263.399354127 341142.268199124,455266.853672971 341193.796913802,455267.861818958 341210.77496234)",residential,Grundy Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455296.896149479 341069.745584076,455265.468658981 341082.347240568,455259.144295549 341084.978407344,455243.823639032 341090.688608533,455215.265669602 341103.212148687)",primary,Alfreton Road,asphalt,30 mph,yes,,,,,both,A610,,6,,,,,,,,,,
"LINESTRING (455249.650658208 341041.090661066,455258.845660328 341064.693058111,455265.468658981 341082.347240568)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455222.556582646 341034.828677942,455232.622605882 341061.578392575,455243.823639032 341090.688608533)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455192.456094295 341111.195540477,455187.755509282 341099.882751765,455184.009960741 341091.40677476,455177.500962954 341087.271587442,455168.145420296 341086.519452142,455156.29989853 341086.751331772)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455129.181604797 341157.378448616,455141.740697776 341150.52380698,455165.921955105 341132.987847225,455167.547003938 341131.860471013,455175.586197689 341126.701014977,455193.505965597 341116.903831934,455215.265669602 341103.212148687)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,left,A610,,2,,,,,,,,,,
"LINESTRING (455215.265669602 341103.212148687,455192.456094295 341111.195540477,455172.090744977 341120.441893413,455162.383544027 341126.372223722,455149.691832186 341137.186004319,455139.503170351 341147.049337271,455129.181604797 341157.378448616)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,left,A610,,2,,,,,,,,,,
"LINESTRING (455156.454686979 341104.376012396,455155.15085103 341116.788394753,455153.374794729 341125.846587381,455149.691832186 341137.186004319)",residential,Churchfield Lane,asphalt,20 mph,,,yes,,,left,,,1,,,,,,,,,,
"LINESTRING (455172.090744977 341120.441893413,455165.577425249 341117.864252948,455161.841602209 341114.417165271,455159.736116098 341111.144454581,455156.454686979 341104.376012396)",residential,Churchfield Lane,asphalt,20 mph,,,yes,,,left,,,1,,,,,,,,,,
"LINESTRING (455346.311837068 341031.472081652,455165.442017908 340976.189620698)",residential,Grimston Road,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455359.293535699 340981.933975202,455173.104798393 340926.957457457)",residential,Wordsworth Road,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455180.483550307 340883.195845511,455366.894608027 340931.811330502)",residential,Glentworth Road,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455073.374582014 340858.565432459,455082.559926535 340894.906132452,455094.510929254 340930.822245966,455103.232194687 340953.050476839,455111.555589334 340957.740284508,455123.059609397 340958.616949978,455169.114861282 340955.749380096)",residential,Kingsford Avenue,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455179.460763081 340889.225349888,455073.374582014 340858.565432459)",residential,Woodstock Avenue,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455322.437907121 340819.10055127,455320.237006707 340834.717912245,455363.45717557 340840.775804839,455365.658086632 340825.169586686)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455367.734750352 340810.440866556,455328.518486531 340804.94057026,455301.200490609 340801.112106499)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455305.266352314 340772.22102268,455303.474878353 340784.939300847,455301.200490609 340801.112106499,455299.124154762 340815.829729674,455322.437907121 340819.10055127,455326.441941013 340819.6693064,455365.658086632 340825.169586686,455367.734750352 340810.440866556,455370.009358309 340794.268090656,455330.792964692 340788.767776824,455303.474878353 340784.939300847)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455377.116246703 340751.538316193,455337.249740663 340745.874746449,455309.583273813 340741.94211984)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455383.785781242 340704.776079481,455381.55016234 340720.470895226,455379.373776122 340735.687991187,455377.116246703 340751.538316193,455374.881049252 340767.199763495,455335.014670928 340761.536211278,455307.34816536 340757.614720955)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455379.373776122 340735.687991187,455339.5138579 340730.02448068,455311.847301352 340726.091841749)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455305.266352314 340772.22102268,455332.569419437 340776.193967961)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (455316.252162377 340695.179794527,455314.016760288 340710.87463997,455311.847301352 340726.091841749,455309.583273813 340741.94211984,455307.34816536 340757.614720955,455305.266352314 340772.22102268)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455381.55016234 340720.470895226,455314.016760288 340710.87463997)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455383.785781242 340704.776079481,455316.252162377 340695.179794527)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455191.313777988 340807.231763079,455226.812168466 340818.2846032,455300.392069453 340840.632030366,455376.901832325 340865.773320797)",residential,Prospect Street,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5QE,,,
"LINESTRING (455269.28500938 340612.513288117,455267.081966649 340618.929793607,455259.005924708 340639.564360092,455240.070518527 340689.257142915,455229.31636187 340716.169336832,455213.244027498 340754.635870938,455205.044884498 340770.796636812,455199.048754599 340785.825526609,455191.313777988 340807.231763079,455188.754395946 340818.394851719,455186.674053708 340834.670051929,455180.483550307 340883.195845511,455179.460763081 340889.225349888,455173.104798393 340926.957457457,455169.114861282 340955.749380096,455167.55477543 340965.889213884,455165.442017908 340976.189620698,455161.112790136 341014.111773437,455159.911779074 341018.692922411,455156.29989853 341086.751331772,455156.267252822 341099.61212548,455156.454686979 341104.376012396)",residential,Churchfield Lane,asphalt,20 mph,yes,,,,,both,,,2,,,,,,,,,,
"LINESTRING (455217.214440847 340851.607248456,455226.812168466 340818.2846032)",residential,Prospect Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455307.34816536 340757.614720955,455298.419372698 340756.500085756,455294.649233842 340756.03416212,455263.086807813 340751.478683216,455238.439178498 340747.914764944)",service,,,,,parking_aisle,,delivery,,,,,,,,,,,,,,,
"LINESTRING (455074.268317381 340707.679545616,455067.815917004 340717.385369297,455063.004633367 340734.586285617,455057.556892593 340757.531871341,455062.130880271 340772.347626445,455188.754395946 340818.394851719)",residential,Knighton Avenue,,,,,,,,,,,,,,,,,,NG7 5QD,,,
"LINESTRING (455213.244027498 340754.635870938,455189.672214947 340743.930754503,455140.269204202 340721.504910575,455089.585505108 340704.716766501,455087.247828905 340704.111582127,455081.521053986 340703.200745435,455077.1023227 340704.819205059,455074.268317381 340707.679545616)",residential,Radford Grove Lane,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455150.942320998 340668.101621767,455132.023120723 340660.553944305)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455119.124886791 340692.904560791,455129.961997682 340665.737190688,455132.023120723 340660.553944305,455135.232052156 340652.513400676)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455112.827977982 340660.112431869,455129.961997682 340665.737190688)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455126.517503708 340642.022679629,455134.666249195 340640.869599894)",residential,Millers Court,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455169.818889152 340621.133598062,455141.421657086 340612.287232434)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455155.15085103 341116.788394753,455065.000296563 341103.488420771,455032.199428028 341098.152632721)",residential,Newquay Avenue,asphalt,20 mph,yes,,,,,both,,,2,,,,,,,NG7 5QZ,,,
"LINESTRING (455032.607730387 341157.834852545,455032.199428028 341098.152632721,455031.427776431 341071.542601229,455027.233308922 341059.990980194)",residential,Lynmouth Crescent,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5RB,,,
"LINESTRING (455074.461121824 341046.099312951,455065.000296563 341103.488420771)",residential,Truro Crescent,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5RA,,,
"LINESTRING (454971.757667858 341063.765105213,454971.78956139 341070.407432523,454971.851925106 341081.45583184,454967.247039268 341092.974024012,454963.50033194 341110.543168446,454965.030168625 341127.816332698,454974.476114992 341158.986411792,454985.070702529 341190.736991681,454989.074122149 341211.398246976,454990.525808264 341218.412757251,454996.058732485 341238.657534838,455002.250227905 341242.354966505,455008.837838113 341242.530110509)",residential,Poulter Close,asphalt,20 mph,yes,,,,,left,,,,,,,,,,,,,
"LINESTRING (454965.48939009 341070.335744024,454971.78956139 341070.407432523)",residential,Poulter Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454971.757667858 341063.765105213,454971.530293117 341061.9045479)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454971.530293117 341061.9045479,454972.223633748 341032.852453734)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455073.374582014 340858.565432459,455061.45046915 340852.677596332,455051.116575321 340852.259438991,455042.670255029 340855.38961422,455038.901947958 340866.561254139,455036.840636492 340897.133082596,455038.056254048 340941.971847459,455037.432353357 340946.615227418,455034.275987375 340970.120973465)",residential,Woodstock Avenue,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454964.222644767 340951.41126888,454964.136747885 340944.79057977)",residential,Maun Avenue,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454957.090064277 340875.097750806,454961.846116222 340875.107354304,455006.934323391 340875.219999085)",residential,Wye Gardens,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5RX,,,
"LINESTRING (454961.957106576 340881.294431028,454961.846116222 340875.107354304)",residential,Wye Gardens,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5RX,,,
"LINESTRING (454865.336461985 341204.194837718,454866.389994652 341202.515717623,454868.030782228 341201.177035007,454891.877055598 341195.27326033,454893.108782772 341193.874309974,454893.498159253 341192.120895054,454885.057465028 341161.118160451,454878.179667074 341124.982061822,454877.933083693 341121.852976641,454876.492125907 341115.6507929)",track,,ground,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (454878.429478846 341110.087767517,454876.492125907 341115.6507929)",track,,grass,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454892.680845841 341066.60409386,454889.223764514 340993.080459003,454884.41295045 340908.616155188,454866.001774565 340909.030057065,454863.264973763 340908.676334908)",track,,,,,,,private,yes,,,,,,,,,,,,,,
"LINESTRING (454840.189155567 341059.032186126,454828.130639867 340931.240620645)",track,,,,,,,private,yes,,,,,,,,,,,,,,
"LINESTRING (454888.226243085 340804.757860779,454883.181650944 340811.809784083,454880.521163439 340821.29191544,454876.412010097 340835.296821574,454873.873311548 340847.661860064,454869.393096289 340878.962804486,454865.153031621 340897.994986822,454863.264973763 340908.676334908,454862.574649735 340932.788712608)",track,,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (454829.027044259 340867.645969341,454834.496770815 340931.435256238)",track,,,,,,,private,yes,,,,,,,,,,,,,,
"LINESTRING (454995.11511466 340815.263273564,454972.094780928 340810.984951091,454958.356037826 340802.195206197,454948.765239689 340783.68443299,454943.21787692 340764.641133398,454941.057896968 340751.955680332,454941.208308435 340738.729098034,454942.487732225 340727.239817134,454945.473983815 340718.072938797,454948.102503618 340710.826715766,454961.600789746 340708.298993307,454975.560013047 340713.086047824,454989.163743008 340720.772869101,455005.24184734 340728.265388805)",residential,Fleet Close,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454934.066471608 340712.792083353,454932.667910069 340728.852616878,454934.514107422 340769.137015401,454936.667783661 340782.968326922,454937.114649712 340794.477239632,454932.522402108 340800.733215949,454924.487831969 340803.690270925)",track,,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (455078.622501537 340675.186901081,455084.580518391 340640.498558985)",residential,Bakers Close,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455094.218031396 340630.150416476,455087.127584532 340628.044714754)",residential,Millers Court,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455022.835141753 340671.135690833,454994.376188454 340658.273159022,454988.978323847 340654.429029071,454986.55626882 340648.838682152,454986.819545462 340641.643440051,454999.56012725 340611.27104101)",residential,Tottle Gardens,asphalt,20 mph,yes,,,,,both,,,,,,,,,,NG7 5RZ,,,
"LINESTRING (454952.028921084 340649.124510257,454938.337597989 340686.929218429,454934.721304897 340700.694919041,454934.066471608 340712.792083353)",track,New Road,unpaved,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (454924.487831969 340803.690270925,454888.226243085 340804.757860779)",track,,,,,,,,yes,,,,,yes,,,1,,,,yes,,
"LINESTRING (454805.069653447 340665.278401742,454846.972061982 340659.178695476)",residential,Ainsley Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454720.671771446 338854.03028515,454702.65503197 338869.379859292)",service,,,15 mph,,,yes,,,,,,,,,,1,,,,yes,,
"LINESTRING (454702.65503197 338869.379859292,454697.620660471 338873.005442154)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454697.620660471 338873.005442154,454694.297367828 338876.272121045,454690.082704721 338881.698194225)",unclassified,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454684.097204995 338866.032507204,454688.878307767 338873.507312762,454690.082704721 338881.698194225)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454715.843904219 338904.129483724,454711.505867569 338887.202972207,454706.034122236 338880.187599483,454702.369135338 338875.640291567,454697.620660471 338873.005442154,454684.097204995 338866.032507204)",service,,,15 mph,,,yes,,,,,,,,,,,,,,,,
