WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7009580.581093 -2937140.22942869,-7009498.87447604 -2937143.76171,-7009415.19230177 -2937144.86948662,-7009343.34623852 -2937144.83167673,-7009327.44774283 -2937148.79020601,-7009312.0354812 -2937169.10289042,-7009189.663319 -2937481.24606936,-7009165.48615701 -2937582.06070313,-7009158.6679001 -2937659.75133144,-7009162.04285568 -2937767.71809796,-7009147.69234344 -2937846.52764227,-7009116.67880172 -2937897.25421699,-7009105.84401569 -2937938.12490139)",track,,,,,,,,,,,
"LINESTRING (-7010206.41523322 -2937397.82165577,-7010193.15062056 -2937454.2815189,-7010176.03365688 -2937483.63867343,-7010179.2238391 -2937510.55570123,-7010231.65945085 -2937728.36484469)",track,,,,,,,,,,,
"LINESTRING (-7009093.75243375 -2935666.14017006,-7008881.94639274 -2935748.46607783,-7008792.0273462 -2935783.49546114,-7008743.54544073 -2935799.95103145,-7008538.83462263 -2935888.59397138)",track,,,,,,,,,,,
"LINESTRING (-7008538.83462263 -2935888.59397138,-7008342.4541075 -2935968.83177395)",track,yes,,,,,,,,,,
"LINESTRING (-7008563.61660876 -2935575.7363735,-7009001.55229927 -2935427.93604319)",track,yes,,,,,,,,,,
"LINESTRING (-7008640.94975945 -2934499.56670949,-7008901.98185967 -2935174.2010412,-7008905.56588669 -2935183.33470521,-7009001.55229927 -2935427.93604319,-7009093.75243375 -2935666.14017006)",track,yes,,,,,,,,,,
"LINESTRING (-7008640.94975945 -2934499.56670949,-7008603.78337009 -2935035.82960722,-7008585.40788966 -2935300.65567058,-7008563.61660876 -2935575.7363735,-7008538.83462263 -2935888.59397138)",track,yes,,,,,,,,,,
"LINESTRING (-7009248.59271547 -2935627.00590145,-7009156.75095454 -2935091.12603773,-7009123.58197742 -2934871.12295088,-7009100.77343773 -2934808.62509027,-7009085.71730511 -2934764.05328336,-7009068.1194129 -2934727.21112364,-7009061.31892544 -2934691.82671559,-7009059.60821737 -2934651.29092523,-7009057.4847448 -2934629.75240313,-7009044.55124641 -2934606.71964056,-7009022.91856868 -2934583.23864797,-7009004.27637676 -2934543.30809924,-7008976.3767982 -2934496.25263598,-7008950.60666216 -2934465.60955688,-7008916.64741639 -2934441.17074976,-7008901.42884188 -2934427.27727575,-7008662.31493236 -2934209.03416001)",track,yes,,,,,,,,,,
"LINESTRING (-7008132.83812412 -2935490.13396673,-7008585.40788966 -2935300.65567058,-7008905.56588669 -2935183.33470521,-7009156.75095454 -2935091.12603773,-7009493.61693281 -2934968.3245912,-7009488.9554687 -2934932.23252541,-7009472.10608795 -2934895.83088441,-7009467.70782317 -2934863.29807451,-7009461.60879393 -2934818.16269626,-7009447.97101921 -2934789.7922023,-7009426.61041315 -2934771.66939985,-7009345.53671707 -2934731.68063686,-7009321.25614883 -2934707.92911532,-7009306.41134158 -2934686.56933203,-7009220.90394751 -2934516.10526418,-7009198.64315765 -2934463.75124506,-7009169.24566565 -2934415.87092638,-7009075.95242733 -2934241.94731934,-7009059.36064531 -2934210.81048521,-7009048.46002854 -2934193.50314845,-7009043.45938986 -2934179.76716577,-7009043.66750977 -2934163.36013089,-7009055.24685678 -2934126.40590138,-7009082.23525225 -2934069.15190827,-7009105.72175558 -2934028.13214588,-7009126.16323988 -2934000.38352957,-7009124.26232045 -2933972.47595617,-7009110.40767105 -2933945.24677295,-7009063.98537047 -2933901.42931874)",track,yes,,,,,,,,,,
"LINESTRING (-7008603.78337009 -2935035.82960722,-7008422.91928659 -2935110.74243784,-7008029.89077224 -2935272.08780269)",track,yes,,,,,,,,,,
"LINESTRING (-7008190.1256248 -2934451.01436412,-7008422.91928659 -2935110.74243784)",track,yes,,,,,,,,,,
"LINESTRING (-7008901.42884188 -2934427.27727575,-7008918.05412851 -2934425.17699579,-7008932.42808739 -2934416.7084285,-7009019.85299276 -2934218.30546719,-7009033.87549547 -2934202.41276022,-7009048.46002854 -2934193.50314845)",track,,,,,,,,,,,
"LINESTRING (-7008268.54768282 -2934075.41034871,-7008390.05887488 -2934343.90726324)",track,yes,,,,,,,,,,
"LINESTRING (-7008390.05887488 -2934343.90726324,-7008190.1256248 -2934451.01436412,-7007999.39397921 -2934541.95768932,-7007982.5382186 -2934557.96977072,-7007880.0031456 -2934721.24391328,-7007853.93380074 -2934745.50725336,-7007826.79745276 -2934761.58693411,-7007782.74476792 -2934783.39000656,-7007614.45066291 -2934857.44039085,-7007715.83477819 -2935032.45535916)",track,yes,,,,,,,,,,
"LINESTRING (-7008828.62728716 -2933817.58580129,-7008603.51685796 -2933918.11771784,-7008468.83466797 -2933978.2754943,-7008455.52068029 -2933984.49909054,-7008438.64737167 -2934000.51944473,-7008422.79280947 -2934014.47204165,-7008400.27191344 -2934028.96727778,-7008378.73937201 -2934036.28117441,-7008358.74747198 -2934043.07174095,-7008332.59245401 -2934046.81129306,-7008306.45623237 -2934055.68881855,-7008268.54768282 -2934075.41034871,-7008005.82307617 -2934189.56660452,-7007870.99168356 -2934248.12808311)",track,yes,,,,,,,,,,
"LINESTRING (-7008421.76474669 -2933462.9236892,-7008603.51685796 -2933918.11771784)",track,yes,,,,,,,,,,
"LINESTRING (-7008696.0877286 -2933355.98714456,-7008421.76474669 -2933462.9236892,-7008149.55662436 -2933571.1242105,-7007842.92018819 -2933775.84165534,-7007716.05395388 -2933860.56096132)",track,yes,,,,,,,,,,
"LINESTRING (-7007842.92018819 -2933775.84165534,-7008005.82307617 -2934189.56660452)",track,yes,,,,,,,,,,
"LINESTRING (-7008332.59245401 -2934046.81129306,-7008149.55662436 -2933571.1242105,-7007861.46290394 -2932881.04443218)",track,yes,,,,,,,,,,
"LINESTRING (-7008066.29068035 -2932952.6949673,-7008418.45750375 -2932696.52855448,-7008645.10496854 -2932525.27022157)",track,yes,,,,,,,,,,
"LINESTRING (-7008508.22555302 -2932209.60117259,-7008248.70219416 -2932437.81338978,-7008218.89841055 -2932465.55026662,-7008076.90421368 -2932591.63673651,-7008057.03180953 -2932630.67227117,-7008037.12175804 -2932653.58993395,-7008004.23241223 -2932677.98767359,-7007965.31549214 -2932694.65719637,-7007901.76958113 -2932736.64671937,-7007853.0313041 -2932784.1585038)",track,yes,,,,,,,,,,
"LINESTRING (-7007906.31708357 -2932853.05343721,-7007861.46290394 -2932881.04443218,-7007731.31561048 -2932932.11696275,-7007507.42481163 -2933020.18706229)",track,yes,,,,,,,,,,
"LINESTRING (-7007665.69631043 -2933458.00820438,-7007632.48049994 -2933364.81312557,-7007507.42481163 -2933020.18706229,-7007474.79643178 -2932943.92768044,-7007416.23248936 -2932744.76544661,-7007394.20839644 -2932734.72754317,-7007334.23826328 -2932742.09416526,-7007321.37670897 -2932735.29577559,-7007205.04973235 -2932482.95412455)",track,yes,,,,,,,,,,
"LINESTRING (-7015751.39880398 -2938197.17051319,-7015731.86640144 -2938216.34760411,-7015700.1241015 -2938235.17350527,-7015661.82863847 -2938262.47749736,-7015639.8931076 -2938282.46917487,-7015633.12869178 -2938306.25850711,-7015578.58008297 -2938561.71527544,-7015566.50395353 -2938644.18012385,-7015543.8723676 -2938656.77640522,-7015524.6757941 -2938676.00176335)",track,,,,,,,,,,,
"LINESTRING (-7015517.1526356 -2937539.26692299,-7015182.59279049 -2937627.32561672)",track,,,,,,,,,,,
"LINESTRING (-7015305.11082999 -2937352.37318773,-7014765.88171436 -2937566.39573022)",track,,,,,,,,,,,
"LINESTRING (-7014328.57545548 -2937578.090227,-7014322.26845211 -2937605.41349873,-7014323.17617583 -2937635.10875821,-7014336.097411 -2937662.32855711,-7014442.49648448 -2937888.72103859,-7014473.47709717 -2937936.06655078,-7014500.39661641 -2937963.37926551,-7014537.50136176 -2938000.50653243)",track,,,,,,,,,,,
"LINESTRING (-7013750.19878265 -2938287.56336404,-7013729.58507248 -2938226.45387934)",track,,,,,,,,,,,
